,avg.ss/srs,std.ss/srs,time.ss/srs
Gender,0.02150357953319493,0.9881712819161335,3.136854354384273
Race,0.2981071074055778,0.9935432827703368,4.1903205794952925
Workclass,3.6928991794377226,1.009096751936442,5.046477584143317
Gender&Race,3.0778673664344347,1.0093278535656287,10.386325324491594
Gender&Workclass,2.2936248280794276,1.0139985600973738,10.339462508285811
Race&Workclass,1.237686766063539,1.0071627856296457,20.238757533611498
Gender&Race&Workclass,3.1393142450791527,1.0068495587089497,45.25029855484841
