,avg.cs/srs,std.cs/srs,time.cs/srs
Gender,9.732429189169704,0.8716803120640547,2.7750018929506517
Race,9.732429189169704,0.8716803120640547,2.7750018929506517
Workclass,9.732429189169704,0.8716803120640547,2.7750018929506517
Gender&Race,9.732429189169704,0.8716803120640547,2.7750018929506517
Gender&Workclass,9.732429189169704,0.8716803120640547,2.7750018929506517
Race&Workclass,9.732429189169704,0.8716803120640547,2.7750018929506517
Gender&Race&Workclass,9.732429189169704,0.8716803120640547,2.7750018929506517
